IAB Categories ( Categories with some modifications. We should use them. Names should start with capital letter) ;;Colours;HSL (new subcategories vary +1- Lightness to - 7);Gradient-on read and on hover;Gradient HSL;Corresponding Gizmag Categories;Corresponding TeknikensVarld Categories;All TeknikensVarld Categories;;;
food industry;;#8ddbce;170, 52, 71;#efefef;185, 52, 81;;;;;;
green solutions;;#8ee8ac;140, 66, 73;#efefef;155, 66, 83;;;;;;
hospitality industry;;#8ee8c5;157, 66, 73;#efefef;172, 66, 83;;;;;;
iron & steel industry;;#c2d6ce;157, 20, 80;#efefef;172, 20, 90;;;;;;
logistics;;#abd3d6;184, 34, 75;#efefef;199, 34, 85;;;;;;
manufacturing;;#a3cacc;183, 29, 72;#efefef;198, 29, 82;;;;;;
metals;;#8cddd5;174, 54, 71;#efefef;189, 54, 81;;;;;;
mining industry;;#83cfc7;174, 44, 66;#efefef;189, 44, 76;;;;;;
paper industry;;#b6e2d7;165, 44, 80;#efefef;180, 44, 90;;;;;;
pharmaceutical industry;;#afd0df;199, 43, 78;#efefef;214, 43, 88;;;;;;
publishing;;#b5d0e3;205, 45, 80;#efefef;220, 45, 90;;;;;;
record company;;#b4cdde;204, 39, 79;#efefef;219, 39, 89;;;;;;
shipbuilding;;#acc3d4;206, 32, 75;#efefef;221, 32, 85;;;;;;
tanning;;#a1b7c7;205, 25, 71;#efefef;194, 203, 219;;;;;;
textile industry;;#99adbd;207, 21, 67;#efefef;222, 21, 67;;;;;;
war industry;;#8dbbe0;207, 57, 72;#a0e0d8;173, 51, 75;Military;;;;;
Careers;;#99dbff;201, 100, 80;#efefef;216, 100, 90;;;;;;
career advice;;#90daf9;198, 90, 77;#efefef;213, 90, 87;;;;;;
career planning;;#9fdef9;198, 88, 80;#efefef;213, 88, 90;;;;;;
job fairs;;#92d5e0;188, 56, 73;#efefef;203, 56, 83;;;;;;
job search;;#8ed5dd;186, 54, 71;#efefef;201, 54, 81;;;;;;
nursing;;#9edee8;188, 62, 76;#efefef;203, 62, 86;;;;;;
resume writing &d advice;;#95d9e2;187, 57, 74;#efefef;202, 57, 84;;;;;;
telecommuting;;#a5e7f3;189, 76, 80;#efefef;204, 76, 90;;;;;;
u.s. military (public service);;#89e5fa;191, 92, 76;#efefef;206, 92, 86;;;;;;
Education;;#4dddff;191, 100, 65;#88efed;179, 76, 74;;;;;;
adult education;;#4ae5ff;189, 100, 65;#88efeb;178, 76, 74;;;;;;
alumni & reunions;;#45edff;186, 100, 64;#88efe8;176, 76, 74;;;;;;
art. history;;#40f6ff;183, 100, 63;#88efe6;175, 76, 74;;;;;;
distance learning;;#3bffff;180, 100, 62;#88efe3;173, 76, 74;;;;;;
english as a second language (bilingual);;#49f2e6;176, 87, 62;#88efe1;172, 76, 74;;;;;;
grade school;;#49f2eb;178, 87, 62;#88efdf;171, 76, 74;;;;;;
graduate school;;#4ef2ff;184, 100, 65;#88efdc;169, 76, 74;;;;;;
high school;;#49f2f0;179, 87, 62;#88efda;168, 76, 74;;;;;;
homeschooling;;#49eaed;181, 82, 61;#88efd7;166, 76, 74;;;;;;
homework & study tips (e-learning);;#48e5e5;180, 75, 59;#88efd5;165, 76, 74;;;;;;
language learning;;#46dddc;180, 69, 57;#88efd3;164, 76, 74;;;;;;
school;;#4ad9d8;180, 65, 57;#88efd0;162, 76, 74;;;;;;
special education;;#45ced2;182, 61, 55;#88efce;161, 76, 74;;;;;;
studying business;;#37cccc;180, 59, 51;#88efcb;159, 76, 74; ;;;;;
teaching & classroom resources ;;#37c2cc;184, 59, 51;#88efc9;158, 76, 74;;;;;;
Family & Parenting;;#b594c4;281, 29, 67;#efefef;296, 29, 77;;;;;;
adoption;;#b395c4;278, 28, 68;#efefef;293, 28, 78;;;;;;
babies & toddlers;;#b397c6;276, 29, 68;#efefef;291, 29, 78;;;;;;
children;;#b69acc;274, 33, 70;#ffaf9c;12, 100, 81;Children;;;;;
eldercare;;#ba9fcc;276, 31, 71;#efefef;291, 31, 81;;;;;;
motherhood;;#bea6d1;273, 32, 74;#efefef;288, 32, 84;;;;;;
parenting teens;;#c9b0d7;278, 33, 77;#efefef;293, 33, 87;;;;;;
special needs kids;;#cfb9dd;277, 35, 80;#efefef;292, 35, 90;;;;;;
Finance;;#c6b9c6;300, 10, 75;#efefef;315, 10, 85;;;;;;
accounting & auditing;;#c5b6c4;304, 11, 74;#efefef;319, 11, 84;;;;;;
bank;;#c4b1bf;316, 14, 73;#efefef;331, 14, 83;;;;;;
financial news;;#c2aab7;328, 16, 71;#efefef;343, 16, 81;;;;;;
grants, scholarships & financial aid;;#c0a5b2;331, 18, 70;#efefef;346, 18, 80;;;;;;
investing;;#be9dab;335, 20, 68;#efefef;350, 20, 78;;;;;;
personal finance;;#be96ab;329, 24, 67;#efefef;344, 24, 77;;;;;;
Food & Drink;;#c0ff99;97, 100, 80;#efefef;112, 100, 90;;;;;;
barbecues & grilling;;#9EFABB;139, 90, 80;#efefef;154, 90, 90;;;;;;
beverages;;#cbff8f;88, 100, 78;#efefef;103, 100, 88;;;;;;
cuisines;;#E7F76E;67, 90, 70;#efefef;82, 90, 80;;;;;;
desserts & baking;;#d8eb7a;70, 74, 70;#efefef;85, 74, 80;;;;;;
dining out;;#abfd96;108, 96, 79;#efefef;123, 96, 89;;;;;;
food;;#d0fc7d;81, 96, 74;#efefef;96, 96, 89;;;;;;
food allergies;;#c5fe97;93, 98, 79;#efefef;108, 98, 89;;;;;;
food & grocery retailers;;#9dfd90;113, 97, 78;#efefef;129, 97, 88;;;;;;
gastronomy;;#93f881;111, 90, 74;#efefef;126, 90, 84;;;;;;
health & low-fat cooking;;#9efa85;107, 92, 75;#efefef;122, 92, 85;;;;;;
healthy eating;;#a2fc9c;116, 95, 80;#efefef;131, 95, 90;;;;;;
kosher food;;#a6fd9b;113, 96, 80;#efefef;128, 96, 90;;;;;;
vegan;;#a1fc94;113, 95, 78;#efefef;128, 95, 88;;;;;;
vegetarian;;#99fc8b;113, 95, 77;#efefef;128, 95, 87;;;;;;
Health & Fitness;;#6aef9f;144, 81, 68;#8ef4be;148, 82, 76;Health & Wellbeing;;;;;
addiction;;#69ee9e;144, 80, 67;#efefef;159, 80, 77;;;;;;
aging;;#68eb9d;144, 77, 66;#efefef;159, 77, 76;;;;;;
alternative medicine;;#67e99c;144, 75, 66;#efefef;159, 75, 76;;;;;;
dental care;;#65e49a;145, 70, 65;#efefef;160, 70, 75;;;;;;
disease;;#63e098;145, 67, 63;#efefef;160, 67, 73;;;;;;
disorders;;#62de97;146, 65, 63;#efefef;161, 65, 73;;;;;;
drugs;;#61da95;146, 62, 62;#efefef;161, 62, 72;;;;;;
outdoors & exercise;;#60d894;146, 61, 61;#c0ffb3;110, 100, 85;Outdoors;;;;;
incest & abuse support;;#5ed492;146, 58, 60;#efefef;161, 58, 70;;;;;;
men's health;;#5dd291;147, 57, 59;#efefef;162, 57, 69;;;;;;
nutrition;;#5bce8f;147, 54, 58;#efefef;162, 54, 68;;;;;;
sexuality;;#2bd97a;147, 70, 51;#efefef;162, 70, 61;;;;;;
sports medicine;;#58c78c;148, 50, 56;#efefef;163, 50, 66;;;;;;
therapy;;#57c48a;148, 48, 55;#efefef;163, 48, 65;;;;;;
weight loss;;#56c289;148, 47, 55;#efefef;163, 47, 65;;;;;;
women's health;;#52b985;150, 42, 52;#efefef;165, 42, 62;;;;;;
 Hobbies & Interests;;#f77c3e;20, 92, 61;#efefef;30, 92, 71;;;;;;
art & technology;;#f76f41;15, 92, 61;#efefef;30, 92, 71;;;;;;
arts & crafts;;#f88145;20, 93, 62;#efefef;35, 93, 72;;;;;;
astrology;;#f8854c;20, 92, 64;#efefef;35, 92, 74;;;;;;
birdwatching;;#f98a53;20, 93, 65;#efefef;35, 93, 75;;;;;;
cigars;;#f98e5a;20, 93, 66;#efefef;35, 93, 76;;;;;;
collecting;;#f9915d;20, 93, 67;#ffdb76;44, 100, 73;Collectibles;;;;;
games;;#fa9361;20, 94, 68;#efefef;35, 94, 78;;;;;;
getting published (self-publishing?);;#fa9868;20, 94, 69;#efefef;35, 94, 79;;;;;;
guitar (playing instruments);;#fb9c6f;19, 95, 71;#efefef;34, 95, 81;;;;;;
home recording;;#fba175;20, 94, 72;#efefef;35, 94, 82;;;;;;
inventors & patents;;#ffd974;44, 100, 73;#efefef;54, 100, 83;Inventors & Remarkable People;;;;;
magic & illusion;;#fcaa83;19, 95, 75;#efefef;34, 95, 83;;;;;;
needlework;;#fdaf8a;19, 97, 77;#efefef;34, 97, 87;;;;;;
paranormal phenomena;;#fdb391;19, 96, 78;#efefef;34, 96, 88;;;;;;
reading;;#feb898;19, 98, 80;#efefef;34, 98, 90;;;;;;
scrapbooking;;#ffb18a;20, 100, 77;#efefef;35, 100, 87;;;;;;
Home & Garden;;#b1f977;93, 92, 72;#efefef;108, 92, 82;;;;;;
appliances;;#a3f880;103, 90, 74;#efefef;118, 90, 84;;;;;;
bed & bath;;#96f688;112, 86, 75;#efefef;127, 86, 85;;;;;;
environmental safety;;#89f591;124, 84, 75;#8fefc4;153, 75, 75;;;;;;
gardening & landscaping;;#7bf499;135, 85, 72;#efefef;150, 85, 82;;;;;;
home furnishings;;#6df3a2;144, 85, 69;#efefef;159, 85, 79;;;;;;
home improvement & repair;;#60f2aa;150, 85, 66;#d5f48c;78, 83, 75;Around The Home;;;;;
interior decorating (interior design);;#52f0b3;157, 84, 63;#efefef;172, 84, 73;;;;;;
laundry;;#45efbb;162, 84, 60;#efefef;177, 84, 70;;;;;;
luxury homes;;#37eab9;164, 81, 57;#efefef;179, 81, 67;;;;;;
nursery & playroom;;#29e5b8;166, 78, 53;#efefef;181, 78, 63;;;;;;
pest control;;#1ce1b6;167, 78, 50;#efefef;182, 78, 60;;;;;;
remodeling & construction;;#00d7b3;170, 100, 42;#efefef;185, 100, 52;;;;;;
Law, Gov't & Politics;;#ff5b57;1, 100, 67;#fc9494;0, 95, 78;;;;;;
armed forces;;#fa5c59;1, 94, 66;#f79696;0, 86, 78;;;;;;
commentary;;#f55e5b;1, 89, 66;#f29999;0, 77, 77;;;;;;
espionage & intelligence;;#f05f5c;1, 83, 65;#ed9b9b;0, 69, 77;;;;;;
government;;#eb605e;1, 78, 65;#e89e9e;0, 62, 76;;;;;;
immigration;;#e76260;1, 74, 64;#e2a0a0;0, 53, 76;;;;;;
law enforcement;;#dd6463;0, 64, 63;#dda2a2;0, 46, 75;;;;;;
legal issues;;#d86665;1, 60, 62;#d8a5a5;0, 40, 75;;;;;;
politics;;#d36767;0, 55, 62;#d3a7a7;0, 33, 74;;;;;;
News;;#76c8e5;196, 68, 68;#abf1fc;188, 93, 83;;aktuellt (current) & Kronika;;;;
international news;;#65bbd7;195, 59, 62;#a5e9f4;188, 78, 80;;;;;;
national news;;#55afca;194, 52, 56;#a0e1eb;188, 65, 77;;;;;;
local news;;#44a2bc;193, 47, 50;#9ad9e3;188, 57, 75;;;;;;
Pets;;#ef9ea6;354, 72, 78;#ffc4b0;15, 100, 85;Pets;;;;;
animal welfare;;#f092a5;348, 76, 76;#ffc0ae;13, 100, 84;;;;;;
aquariums;;#f08ca5;345, 77, 75;#ffbcac;12, 100, 84;;;;;;
birds;;#f186a4;343, 79, 74;#ffb7ab;9, 100, 84;;;;;;
cats;;#f17fa4;341, 80, 72;#ffb3a9;7, 100, 83;;;;;;
dogs;;#f179a4;339, 81, 71;#ffafa7;5, 100, 83;;;;;;
large animals;;#f273a3;337, 83, 70;#ffaba5;4, 100, 82;;;;;;
reptiles;;#f26da3;336, 84, 69;#ffa6a4;1, 100, 82;;;;;;
zoo;;#d85e78;347, 61, 61;#ffa2a2;0, 100, 82;;;;;;
Real Estate;;#bddbdb;180, 30, 80;#efefef;195, 30, 90;;;;;;
apartments;;#accfd2;185, 30, 75;#efefef;200, 30, 85;;;;;;
architects;;#abd4d0;175, 32, 75;#d3d6e2;228, 21, 86;Architecture;;;;;
buying & selling homes;;#acc1d2;207, 30, 75;#efefef;222, 30, 85;;;;;;
low income housing;;#b0c4d9;210, 35, 77;#c7e2de;171, 32, 83;Tiny Houses;;;;;
Religion & Spirituality;;#acd1dc;194, 41, 77;#efefef;209, 41, 87;;;;;;
alternative ;;#c99c9c;0, 30, 70;#d0f1f4;185, 62, 89;Good Thinking;;;;;
atheism & agnosticism;;#acd2d2;180, 30, 75;#caedf0;185, 56, 87;;;;;;
buddhism;;#c9b39c;30, 30, 70;#c4e9ed;186, 53, 85;;;;;;
christianity;;#c9c39c;51, 30, 70;#b9e2e5;184, 46, 81;;;;;;
hinduism;;#c9cd98;65, 35, 70;#b3dee2;185, 45, 79;;;;;;
islam;;#d6ceb3;47, 30, 77;#addade;185, 43, 77;;;;;;
judaism;;#d2d0ac;57, 30, 75;#ade7e8;181, 56, 79;;;;;;
Science;;#89e3f5;190, 85, 75;#d9efdf;136, 41, 89;Science;;;;;
biology;;#8ef4be;148, 82, 76;#b5f4be;129, 74, 83;Biology;;;;;
chemistry;;#4bffcf;164, 100, 65;#efefef;179, 100, 75; ;;;;;
computer science;;#aeeae0;170, 59, 80;#d0f1f4;185, 62, 89;Quantum Computing;;;;;
ecology;;#89e57c;113, 67, 69;#89e5d9;172, 64, 72;Environment;miljo-och-teknik (Environmental and Technology);;;;
engineering;;#8bd4cf;176, 46, 69;#a9e2ec;189, 64, 79;Materials;;;;;
geography;;#89c77c;110, 40, 63;#efefef;125, 40, 73;;;;;;
geology;;#cadf6a;71, 65, 65;#efefef;86, 65, 75;;;;;;
mathematics;;#9de5f5;191, 81, 79;#efefef;206, 81, 89;;;;;;
medicine;;#9de8a5;126, 62, 76;#c1f79e;96, 85, 79;Medical;;;;;
phyiscs;;#aaeec9;147, 66, 80;#d7f4d8;122, 57, 90;Physics;;;;;
social science;;#d4eb8d;75, 70, 74;#efefef;90, 70, 84;;;;;;
weather;;#2ea8d8;197, 69, 51;#efefef;212, 69, 61;;;;;;
Shopping;;#fde3a7;40, 95, 77;#efefef;55, 95, 87;;;;;;
auctions;;#fede98;41, 98, 80;#efefef;56, 98, 80;;;;;;
classifieds;;#fed888;41, 98, 76;#efefef;56, 98, 76;;;;;;
gifts;;#ffd379;40, 100, 74;#efefef;55, 100, 84;;;;;;
resources;;#ffcd69;40, 100, 71;#efefef;55, 100, 81;;;;;;
retails;;#ffc169;35, 100, 71;#efefef;50, 100, 81;;;;;;
kids;;#ffb069;28, 100, 71;#efefef;38, 100, 81;;;;;;
Society;;#94caff;210, 100, 79;#efefef;225, 100, 89;;;;;;
crime;;#8ec6fc;209, 95, 77;#efefef;224, 95, 77;;;;;;
dating;;#88c1f8;209, 89, 75;#efefef;224, 89, 85;;;;;;
gay life (LGBTQ);;#dea3f5;283, 80, 80;#efefef;298, 80, 90;;;;;;
racism;;#7cb9f2;209, 82, 72;#efefef;224, 82, 82;;;;;;
senior living;;#5bc7f2;197, 85, 65;#efefef;212, 85, 75;;;;;;
sex;;#a1aff7;230, 85, 80;#efefef;245, 85, 75;;;;;;
social institution;;#76b5ef;209, 79, 70;#efefef;224, 79, 80;;;;;;
teens;;#5bb5ef;204, 82, 65;#efefef;219, 82, 75;;;;;;
unrest and war;;#5fa4b5;192, 37, 54;#efefef;207, 37, 64;;;;;;
welfare;;#599fde;208, 67, 61;#efefef;223, 67, 71;;;;;;
work;;#539bdb;208, 65, 59;#efefef;223, 65, 69;;;;;;
Sports;;#98dd8c;111, 54, 71;#e6ffa1;76, 98, 81;Sports;;;;;
archery;;#98dd8a;110, 55, 70;#e5fea1;76, 98, 81;;;;;;
auto racing;;#98dc88;109, 55, 70;#E3FE9A;76, 98, 80;;motorsport;;;;
badminton;;#98dc87;108, 55, 70;#E1FD9B;77, 97, 80;;;;;;
baseball;;#98dc85;107, 55, 69;#e4fda0;76, 96, 81;;;;;;
basketball;;#98dc83;106, 56, 69;#e3fda0;77, 96, 81;;;;;;
bicycling;;#98db81;105, 56, 68;#e2fca0;77, 94, 81;Bicycles;;;;;
billiards;;#98db7f;104, 56, 68;#e2fc9f;77, 94, 80;;;;;;
boat racing;;#99db7d;102, 57, 67;#DFFC97;77, 94 ,79;;;;;;
bobsled;;#99da7c;101, 56, 67;#e1fb9f;77, 92, 80;;;;;;
bodybuilding;;#99da7a;101, 56, 67;#e0fb9f;78, 92, 80;;;;;;
bowling;;#99da78;100, 57, 66;#E0FBA2;78, 92, 81;;;;;;
boxing;;#99da76;99, 57, 66;#dffa9e;78, 90, 80;;;;;;
canoeing & kayaking;;#99d974;98, 57, 65;#def99e;78, 88, 80;;;;;;
cheerleading;;#99d973;98, 57, 65;#ddf89d;78, 87, 79;;;;;;
climbing;;#99d971;97, 58, 65;#DAF896;78, 87, 78;;;;;;
cricket;;#99d96f;96, 58, 64;#dbf79d;79, 85, 79;;;;;;
curling;;#99d86d;95, 58, 64;#DAF69C;79, 84, 79;;;;;;
diving;;#99d86b;95, 58, 63;#daf69c;79, 83, 79;;;;;;
dog sled;;#99d869;94, 59, 63;#D8F598;79, 83, 78;;;;;;
fencing;;#99d768;94, 58, 63;#d8f59c;80, 82, 79;;;;;;
fishing;;#99d766;93, 59, 62;#d7f49b;80, 80, 78;;;;;;
football;;#99d764;92, 59, 62;#d6f49b;80, 80, 78;;;;;;
go kart;;#9ad762;91, 59, 61;#d6f39b;80, 79, 78;;;;;;
golf;;#9ad660;91, 59, 61;#D5F39B;80, 78, 78;;;;;;
gymnastics;;#9ad65f;90, 59, 61;#d4f29a;80, 77, 78;;;;;;
handball;;#9ad65d;90, 60, 60;#d4f299;80, 77, 77;;;;;;
hockey;;#9ad55b;89, 59, 60;#d4f298;80, 78, 77;;;;;;
horse racing;;#9ad559;89, 60, 59;#D2F292;80, 78, 76;;;;;;
horses;;#9ad557;88, 60, 59;#d3f296;80, 78, 77;;;;;;
hunting & shooting;;#9ad555;88, 60, 58;#d3f295;80, 78, 77;;;;;;
martial arts;;#9ad454;87, 60, 58;#d3f294;80, 78, 76;;;;;;
motorcycling;;#9ad452;87, 60, 58;##D1F18E;80, 79, 75;;;;;;
olympics;;#9ad450;86, 61, 57;#d2f291;80, 79, 76;;;;;;
paintball;;#9ad44e;86, 61, 57;#D0F28D;80, 79, 75;;;;;;
parachuting;;#9ad34c;85, 61, 56;#d2f18f;79, 78, 75;;;;;;
polo;;#9ad34a;85, 61, 56;#D1F08E;79, 77, 75;;;;;;
rodeo;;#9ad349;85, 61, 56;#d1f18d;79, 78, 75;;;;;;
rowing;;#9ad247;84, 61, 55;#D0F089;79, 78, 74;;;;;;
rugby;;#9bd245;83, 61, 55;#CFF08A;79, 77, 74;;;;;;
running & jogging;;#9bd243;83, 61, 54;#d0f18a;79, 79, 74;;;;;;
sailing;;#9bd241;83, 62, 54;#D2F288;78, 80, 74;;;;;;
scuba diving;;#9bd140;82, 61, 54;#d0f188;79, 79, 74;;;;;;
skateboarding;;#9bd13e;82, 62, 53;#d0f187;79, 79, 74;;;;;;
skating;;#9bd13c;82, 62, 53;#cff185;79, 79, 73;;;;;;
skiing;;#9bd03a;81, 61, 52;#cff184;79, 80, 73;;;;;;
snowboarding;;#9bd038;81, 62, 52;#CDF17E;79, 80, 72;;;;;;
soccer;;#9bd036;81, 62, 51;#cff182;79, 80, 73;;;;;;
softball;;#9bd035;81, 62, 51;#CDF17E;79, 80, 72;;;;;;
sports news;;#9bcf33;80, 62, 51;#CCF07F;79, 79, 72;;;;;;
surfing & bodyboarding;;#30CF65;140, 62, 50;#cef17f;78, 80, 72;;;;;;
swimming;;#2FD085;152, 63, 50;#CEF07F;78, 79, 72;;;;;;
table tennis & ping-pong;;#9bcf2d;79, 64, 49;#cdf17d;79, 81, 72;;;;;;
tennis;;#9bce2c;79, 65, 49;#cdf07c;78, 79, 71;;;;;;
trekking;;#9cce2a;78, 66, 49;#cdf07b;78, 80, 71;;;;;;
volleyball;;#9cce28;78, 67, 48;#CBF075;78, 80, 70;;;;;;
wakeboarding;;#9ccd26;78, 69, 48;#ccf078;78, 80, 71;;;;;;
walking;;#9ccd24;77, 70, 47;#ccf076;78, 80, 70;;;;;;
water polo;;#9ccd22;77, 72, 47;#ccf075;78, 80, 70;;;;;;
weightlifting;;#9ccd21;77, 72, 47;#cbf074;78, 81, 70;;;;;;
windsurfing;;#9ccc1f;77, 74, 46;#cbf073;78, 81, 70;;;;;;
wrestling;;#1DCD1D;76, 75, 46;#cbf072;78, 81, 69;;;;;;
Style & Fashion;;#f9b567;32, 92, 69;#f9e8c0;42, 83, 86;Lifestyle;;;;;
accessories;;#f9b262;32, 93, 68;#f9e6bb;42, 84, 85;;;;;;
beauty;;#f9ae5d;31, 93, 67;#f9e4b6;41, 85, 85;;;;;;
body art;;#f9ab58;31, 93, 66;#f9e2b1;41, 86, 84;;;;;;
clothing;;#f9a853;31, 93, 65;#f9e0ac;41, 87, 83;;;;;;
fashion designers;;#f9a54e;31, 93, 64;#f9dea7;40, 87, 82;;;;;;
 ;;#f9a249;30, 94, 63;#f9dba3;43, 75, 79;;;;;;
jewelry;;#f99e43;30, 94, 62;#f9d99e;39, 80, 80;;;;;;
luxury goods;;#f99b3e;30, 94, 61;#f9d799;39, 89, 79;;;;;;
women's fashion;;#f98e5d;19, 93, 67;#fdd7a4;34, 96, 82;;;;;;
men 's fashion;;#f99839;30, 94, 60;#f9d594;39, 89, 78;;;;;;
swimwear;;#f99534;30, 94, 59;#f9d38f;38, 90, 77;;;;;;
underwear;;#f98e2a;29, 95, 57;#f9d18a;38, 90, 76;;;;;;
Technology & Computing;;#3fc7fc;197, 97, 62;#efefef;212, 97, 72;;;;;;
computer certification;;#24bffc;197, 97, 56;#efefef;202, 97, 66;;;;;;
computer crime;;#1b8caf;194, 73, 40;#efefef;209, 73, 50;;;;;;
computer reviews;;#99c5ff;214, 80, 80;#efefef;229, 80, 80;;;;;;
computer security;;#9ec0fa;218, 80, 80;#efefef;233, 80, 80;;;;;;
consumer electronics;;#3dcdf9;194, 94, 61;#8ef4ff;186, 100, 78;Electronics;;;;;
wearable & internet of things;;#a87bb2;289, 26, 59;#dd9dbf;328, 48, 74;Wearable;;;;;
